Name,Role,Team,Results,Total Points,Avg Points Per Game,Game Played,Kill(+2),D(-0.5),A(+1.5),CS(+0.01),10+K/A(+2),"3K(+2),4K(+5),5k(+10)"
,,SPY vs. NIP,Win (2-0),42.59,21.3,2,14,1,6,609,0,0 / 0 / 0
,,SPY vs. MSF,Win (2-1),10.94,5.47,3,11,5,18,875,1,0 / 0 / 0
,,SPY vs. H2K,Loss (0-2),39.76,19.88,2,5,8,6,488,0,0 / 0 / 0
,,SPY vs. MM,Win (2-0),42.9,21.45,2,7,0,14,590,1,0 / 0 / 0
,,SPY vs. UOL,Loss (0-2),23.34,11.67,2,3,4,9,584,0,0 / 0 / 0
Trashy,Jungler,Splyce,,467.64,19.49,27,48,59,196,"3,972",10,0 / 0 / 0
,,SPY vs. H2K,Loss (0-2),17.24,8.62,2,3,10,3,312,0,0 / 0 / 0
,,SPY vs. VIT,Win (2-0),45.64,22.82,2,3,3,23,264,2,0 / 0 / 0
,,SPY vs. MM,Win (2-0),38.31,19.16,2,5,4,17,281,1,0 / 0 / 0
,,SPY vs. UOL,Win (2-1),119.48,59.74,3,10,6,42,416,3,0 / 0 / 0
,,SPY vs. ROC,Win (2-1),75.4,37.7,3,9,7,25,428,1,0 / 0 / 0
,,SPY vs. FNC,Loss (0-2),22.12,11.06,2,2,5,4,356,0,0 / 0 / 0
,,SPY vs. G2,Loss (0-2),20.98,10.49,2,1,7,6,299,0,0 / 0 / 0
,,SPY vs. NIP,Win (2-0),39.95,19.98,2,7,3,15,295,1,0 / 0 / 0
,,SPY vs. MSF,Win (2-1),15.14,7.57,3,4,5,30,463,1,0 / 0 / 0
,,SPY vs. H2K,Loss (0-2),25.6,12.8,2,1,5,7,280,0,0 / 0 / 0
,,SPY vs. MM,Win (2-0),29.46,14.73,2,0,2,17,296,1,0 / 0 / 0
,,SPY vs. UOL,Loss (0-2),18.32,9.16,2,3,2,7,282,0,0 / 0 / 0
Wunder,Top,Splyce,,500.77,20.87,27,84,75,143,"7,800",4,2 / 0 / 0
,,SPY vs. H2K,Loss (0-2),33.04,16.52,2,4,7,4,602,0,0 / 0 / 0
,,SPY vs. VIT,Win (2-0),33.72,16.86,2,5,4,13,622,0,0 / 0 / 0
,,SPY vs. MM,Win (2-0),44.54,22.27,2,7,5,17,554,1,0 / 0 / 0
,,SPY vs. UOL,Win (2-1),105.12,52.56,3,17,8,25,717,1,1 / 0 / 0
,,SPY vs. ROC,Win (2-1),78.84,39.42,3,12,10,21,885,1,0 / 0 / 0
,,SPY vs. FNC,Loss (0-2),29.84,14.92,2,2,9,6,642,0,0 / 0 / 0
,,SPY vs. G2,Loss (0-2),32.52,16.26,2,3,7,5,626,0,0 / 0 / 0
,,SPY vs. NIP,Win (2-0),43.03,21.52,2,9,3,14,553,0,0 / 0 / 0
,,SPY vs. MSF,Win (2-1),19.47,9.74,3,16,6,15,889,1,1 / 0 / 0
,,SPY vs. H2K,Loss (0-2),38.1,19.05,2,3,6,7,555,0,0 / 0 / 0
,,SPY vs. MM,Win (2-0),31.82,15.91,2,5,3,12,532,0,0 / 0 / 0
,,SPY vs. UOL,Loss (0-2),10.73,5.37,2,1,7,4,623,0,0 / 0 / 0
Adrian,Support,Team Dignitas,,190.34,11.9,22,17,57,174,618,9,0 / 0 / 0
,,DIG vs. CLG,Win (2-0),42.33,21.17,2,5,4,21,83,1,0 / 0 / 0
,,DIG vs. P1,Win (2-1),12.16,6.08,3,2,10,21,88,1,0 / 0 / 0
,,DIG vs. TSM,Win (2-0),38.19,19.1,2,0,5,24,69,2,0 / 0 / 0
,,DIG vs. C9,Loss (1-2),18.4,9.2,3,2,7,17,87,0,0 / 0 / 0
,,DIG vs. IMT,Win (2-1),25.33,12.67,3,2,4,26,49,2,0 / 0 / 0
,,DIG vs. FOX,Win (2-1),10.27,5.14,3,2,7,18,74,1,0 / 0 / 0
,,DIG vs. CLG,Loss (1-2),24.49,12.25,3,1,9,20,93,1,0 / 0 / 0
,,DIG vs. TL,Win (2-1),19.17,9.59,3,3,11,27,75,1,0 / 0 / 0
Altec,AD Carry,Team Dignitas,,372.54,16.93,30,104,51,130,"8,890",0,1/1/0001
,,DIG vs. C9,Loss (1-2),22.43,11.22,3,4,7,10,867,0,0 / 0 / 0
,,DIG vs. FLY,Loss (1-2),26.8,13.4,2,8,3,3,780,0,0 / 0 / 0
,,DIG vs. NV,Loss (1-2),43.78,21.89,3,9,4,11,879,0,0 / 0 / 1
,,DIG vs. CLG,Win (2-0),55.76,27.88,2,15,2,10,676,0,0 / 1 / 0
,,DIG vs. P1,Win (2-1),29.25,14.63,3,12,4,13,680,0,0 / 0 / 0
,,DIG vs. TSM,Win (2-0),50.04,25.02,2,13,3,12,754,0,0 / 0 / 0
,,DIG vs. C9,Loss (1-2),29.17,14.59,3,8,10,13,817,0,0 / 0 / 0
,,DIG vs. IMT,Win (2-1),33.21,16.61,3,9,2,15,"1,004",0,0 / 0 / 0
,,DIG vs. FOX,Win (2-1),16.15,8.08,3,8,4,9,871,0,0 / 0 / 0
,,DIG vs. CLG,Loss (1-2),36.13,18.07,3,10,5,12,797,0,0 / 0 / 0
,,DIG vs. TL,Win (2-1),29.82,14.91,3,8,7,22,765,0,1 / 0 / 0
Big,Support,Team Dignitas,,228.07,11.4,29,24,99,197,657,7,0 / 0 / 0
,,DIG vs. NV,Win (2-1),14.6,7.3,3,2,7,19,99,1,0 / 0 / 0
,,DIG vs. FLY,Win (2-0),39.42,19.71,2,5,6,20,42,1,0 / 0 / 0
,,DIG vs. TSM,Win (2-1),17.55,8.78,3,2,13,23,96,0,0 / 0 / 0
,,DIG vs. TL,Loss (1-2),32.07,16.04,3,5,11,23,84,0,0 / 0 / 0
,,DIG vs. P1,Win (2-1),14.75,7.38,3,1,10,23,40,1,0 / 0 / 0
,,DIG vs. FOX,Win (2-1),25.93,12.97,3,1,13,28,61,2,0 / 0 / 0
,,DIG vs. IMT,Loss (1-2),24.93,12.47,3,1,12,18,52,1,0 / 0 / 0
,,DIG vs. C9,Loss (1-2),12.46,6.23,3,3,11,10,57,0,0 / 0 / 0
,,DIG vs. FLY,Loss (1-2),16.97,8.49,3,1,8,15,76,0,0 / 0 / 0
,,DIG vs. NV,Loss (1-2),29.39,14.7,3,3,8,18,50,1,0 / 0 / 0
,,DIG vs. CLG,Win (2-0),0,0,0,0,0,0,0,0,0 / 0 / 0
,,DIG vs. P1,Win (2-1),0,0,0,0,0,0,0,0,0 / 0 / 0
,,DIG vs. TSM,Win (2-0),0,0,0,0,0,0,0,0,0 / 0 / 0
,,DIG vs. C9,Loss (1-2),0,0,0,0,0,0,0,0,0 / 0 / 0
Chaser,Jungler,Team Dignitas,,74.95,14.99,6,11,9,38,"1,039",1,0 / 0 / 0
,,DIG vs. NV,Win (2-1),18.54,9.27,3,5,4,11,598,0,0 / 0 / 0
,,DIG vs. FLY,Win (2-0),41.13,20.57,2,3,2,21,263,1,0 / 0 / 0
,,DIG vs. TSM,Win (2-1),0,0,0,0,0,0,0,0,0 / 0 / 0
,,DIG vs. TL,Loss (1-2),15.28,15.28,1,3,3,6,178,0,0 / 0 / 0
,,DIG vs. P1,Win (2-1),0,0,0,0,0,0,0,0,0 / 0 / 0
,,DIG vs. FOX,Win (2-1),0,0,0,0,0,0,0,0,0 / 0 / 0
Keane,Mid,Team Dignitas,,534.86,14.86,51,149,101,251,"14,856",3,4 / 0 / 0
,,DIG vs. NV,Win (2-1),23.01,11.51,3,9,3,12,"1,189",0,0 / 0 / 0
,,DIG vs. FLY,Win (2-0),28.88,14.44,2,7,6,8,588,0,0 / 0 / 0
,,DIG vs. TSM,Win (2-1),35.09,17.55,3,12,7,11,972,0,1 / 0 / 0
,,DIG vs. TL,Loss (1-2),27.69,13.85,3,8,8,16,"1,007",0,0 / 0 / 0
,,DIG vs. P1,Win (2-1),32.84,16.42,3,12,6,20,898,1,0 / 0 / 0
,,DIG vs. FOX,Win (2-1),38.73,19.37,3,10,7,22,990,1,0 / 0 / 0
,,DIG vs. IMT,Loss (1-2),26.92,13.46,3,6,7,9,800,0,0 / 0 / 0
,,DIG vs. C9,Loss (1-2),20.6,10.3,3,6,5,5,841,0,0 / 0 / 0
,,DIG vs. FLY,Loss (1-2),29.17,14.59,3,5,7,12,926,0,0 / 0 / 0
,,DIG vs. NV,Loss (1-2),31.8,15.9,3,6,9,18,813,0,0 / 0 / 0
,,DIG vs. CLG,Win (2-0),38.8,19.4,2,4,1,17,580,0,0 / 0 / 0
,,DIG vs. P1,Win (2-1),25.41,12.71,3,9,4,16,672,0,1 / 0 / 0
,,DIG vs. TSM,Win (2-0),36.37,18.19,2,8,3,11,537,0,0 / 0 / 0
,,DIG vs. C9,Loss (1-2),28.32,14.16,3,8,6,11,795,0,0 / 0 / 0
,,DIG vs. IMT,Win (2-1),28.41,14.21,3,7,8,19,885,1,1 / 0 / 0
,,DIG vs. FOX,Win (2-1),20.33,10.17,3,10,2,12,839,0,1 / 0 / 0
,,DIG vs. CLG,Loss (1-2),29.54,14.77,3,8,8,12,811,0,0 / 0 / 0
,,DIG vs. TL,Win (2-1),32.95,16.48,3,14,4,20,713,0,0 / 0 / 0
LOD,AD Carry,Team Dignitas,,227.46,15.16,21,51,43,120,"6,199",2,2 / 0 / 0
,,DIG vs. NV,Win (2-1),20.01,10.01,3,6,3,13,"1,081",0,0 / 0 / 0
,,DIG vs. FLY,Win (2-0),39.9,19.95,2,7,4,14,490,0,1 / 0 / 0
,,DIG vs. TSM,Win (2-1),31.99,16,3,6,5,20,875,0,0 / 0 / 0
,,DIG vs. TL,Loss (1-2),42.81,21.41,3,9,9,22,902,1,0 / 0 / 0
,,DIG vs. P1,Win (2-1),16.63,8.32,3,8,4,15,841,0,1 / 0 / 0
,,DIG vs. FOX,Win (2-1),38.48,19.24,3,5,4,24,"1,033",1,0 / 0 / 0
,,DIG vs. IMT,Loss (1-2),29.76,14.88,3,8,9,10,639,0,0 / 0 / 0
,,DIG vs. C9,Loss (1-2),0,0,0,0,0,0,0,0,0 / 0 / 0
,,DIG vs. FLY,Loss (1-2),7.88,7.88,1,2,5,2,338,0,0 / 0 / 0
Shrimp,Jungler,Team Dignitas,,441.39,13.79,45,94,126,276,"6,269",10,0 / 0 / 0
,,DIG vs. TSM,Win (2-1),33.62,16.81,3,11,5,19,514,0,0 / 0 / 0
,,DIG vs. TL,Loss (1-2),37.2,18.6,2,4,4,17,370,1,0 / 0 / 0
,,DIG vs. P1,Win (2-1),26.28,13.14,3,13,12,17,451,0,0 / 0 / 0
,,DIG vs. FOX,Win (2-1),42.22,21.11,3,14,8,22,502,1,0 / 0 / 0
,,DIG vs. IMT,Loss (1-2),21.55,10.78,3,5,12,10,337,0,0 / 0 / 0
,,DIG vs. C9,Loss (1-2),23.17,11.59,3,6,7,8,387,0,0 / 0 / 0
,,DIG vs. FLY,Loss (1-2),19.32,9.66,3,6,12,10,403,0,0 / 0 / 0
,,DIG vs. NV,Loss (1-2),28.74,14.37,3,7,11,17,368,0,0 / 0 / 0
,,DIG vs. CLG,Win (2-0),45.39,22.7,2,4,1,22,289,1,0 / 0 / 0
,,DIG vs. P1,Win (2-1),23.11,11.56,3,1,5,26,310,2,0 / 0 / 0
,,DIG vs. TSM,Win (2-0),36.19,18.1,2,5,4,15,369,1,0 / 0 / 0
,,DIG vs. C9,Loss (1-2),22.94,11.47,3,2,13,17,406,1,0 / 0 / 0
,,DIG vs. IMT,Win (2-1),9.44,4.72,3,2,10,14,408,0,0 / 0 / 0
,,DIG vs. FOX,Win (2-1),11.17,5.59,3,2,7,16,395,1,0 / 0 / 0
,,DIG vs. CLG,Loss (1-2),24.33,12.17,3,2,8,17,367,1,0 / 0 / 0
,,DIG vs. TL,Win (2-1),36.72,18.36,3,10,7,29,393,1,0 / 0 / 0
Ssumday,Top,Team Dignitas,,501.16,13.92,51,119,104,277,"14,804",6,1 / 0 / 0
,,DIG vs. NV,Win (2-1),17.67,8.84,3,4,6,17,"1,082",0,0 / 0 / 0
,,DIG vs. FLY,Win (2-0),49.66,24.83,2,13,2,11,816,0,0 / 0 / 0
,,DIG vs. TSM,Win (2-1),24.89,12.45,3,10,4,13,"1,107",0,1 / 0 / 0
,,DIG vs. TL,Loss (1-2),31.56,15.78,3,13,4,13,"1,162",0,0 / 0 / 0
,,DIG vs. P1,Win (2-1),25.9,12.95,3,6,7,27,871,1,0 / 0 / 0
,,DIG vs. FOX,Win (2-1),39.08,19.54,3,9,10,21,"1,056",1,0 / 0 / 0
,,DIG vs. IMT,Loss (1-2),27.77,13.89,3,2,8,13,697,1,0 / 0 / 0
,,DIG vs. C9,Loss (1-2),12.67,6.34,3,3,10,8,806,0,0 / 0 / 0
,,DIG vs. FLY,Loss (1-2),12.59,6.3,3,3,7,4,"1,022",0,0 / 0 / 0
,,DIG vs. NV,Loss (1-2),31.94,15.97,3,5,3,17,868,0,0 / 0 / 0
,,DIG vs. CLG,Win (2-0),36.31,18.16,2,5,6,16,531,0,0 / 0 / 0
,,DIG vs. P1,Win (2-1),23.07,11.54,3,11,8,17,579,0,0 / 0 / 0
,,DIG vs. TSM,Win (2-0),30.63,15.32,2,2,4,16,463,0,0 / 0 / 0
,,DIG vs. C9,Loss (1-2),28.43,14.22,3,6,9,14,705,1,0 / 0 / 0
,,DIG vs. IMT,Win (2-1),31.4,15.7,3,13,4,16,829,0,0 / 0 / 0
,,DIG vs. FOX,Win (2-1),16.55,8.28,3,2,4,18,745,1,0 / 0 / 0
,,DIG vs. CLG,Loss (1-2),21.55,10.78,3,4,6,11,782,0,0 / 0 / 0
,,DIG vs. TL,Win (2-1),39.49,19.75,3,8,2,25,683,1,0 / 0 / 0
Alex Ich,Mid,Team Envy,,0,0,0,0,0,0,0,0,0 / 0 / 0
Apollo,AD Carry,Team Envy,,508.89,14.14,47,127,91,225,"16,438",4,2 / 0 / 0
,,NV vs. DIG,Loss (1-2),18.22,9.11,3,3,5,14,"1,233",0,0 / 0 / 0
,,NV vs. P1,Win (2-1),48.64,24.32,3,9,9,21,"1,109",1,0 / 0 / 0
,,NV vs. IMT,Win (2-0),47.51,23.76,2,10,2,15,601,0,0 / 0 / 0
,,NV vs. TL,Win (2-1),18.22,9.11,3,13,5,9,"1,207",0,1 / 0 / 0
,,NV vs. FOX,Loss (0-2),28.12,14.06,2,6,5,7,812,0,0 / 0 / 0
,,NV vs. TSM,Loss (0-2),18.24,9.12,2,3,5,6,574,0,0 / 0 / 0
,,NV vs. CLG,Loss (1-2),23.99,12,3,4,6,11,924,0,0 / 0 / 0
,,NV vs. FLY,Win (2-1),40.67,20.34,3,17,3,17,"1,009",0,1 / 0 / 0
,,NV vs. P1,Loss (1-2),19.81,9.91,3,7,8,7,"1,309",0,0 / 0 / 0
,,NV vs. DIG,Win (2-1),23.08,11.54,3,4,3,22,948,1,0 / 0 / 0
,,NV vs. C9,Win (2-0),35.08,17.54,2,6,3,12,658,0,0 / 0 / 0
,,NV vs. FOX,Win (2-1),26.09,13.05,3,5,3,12,"1,050",0,0 / 0 / 0
,,NV vs. TL,Loss (1-2),35.69,17.85,3,7,5,18,968,0,0 / 0 / 0
,,NV vs. FLY,Win (2-1),23.88,11.94,3,15,6,13,"1,185",1,0 / 0 / 0
,,NV vs. CLG,Loss (0-2),13.42,6.71,2,1,4,5,592,0,0 / 0 / 0
,,NV vs. TSM,Loss (1-2),52.11,26.06,3,8,6,26,"1,297",1,0 / 0 / 0
,,NV vs. IMT,Loss (0-2),12.09,6.05,2,4,6,2,409,0,0 / 0 / 0
,,NV vs. C9,Loss (0-2),24.03,12.02,2,5,7,8,553,0,0 / 0 / 0
Hakuho,Support,Team Envy,,430.58,11.96,47,37,90,351,"1,768",14,0 / 0 / 0
,,NV vs. DIG,Loss (1-2),15.51,7.76,3,3,4,16,101,0,0 / 0 / 0
,,NV vs. P1,Win (2-1),41.75,20.88,3,5,8,26,117,1,0 / 0 / 0
,,NV vs. IMT,Win (2-0),44.54,22.27,2,1,5,27,54,2,0 / 0 / 0
,,NV vs. TL,Win (2-1),15.19,7.6,3,1,2,24,99,1,0 / 0 / 0
,,NV vs. FOX,Loss (0-2),17.2,8.6,2,1,5,11,120,0,0 / 0 / 0
,,NV vs. TSM,Loss (0-2),12.19,6.1,2,2,6,7,69,0,0 / 0 / 0
,,NV vs. CLG,Loss (1-2),24.19,12.1,3,2,10,17,108,1,0 / 0 / 0
,,NV vs. FLY,Win (2-1),32.01,16.01,3,5,2,33,144,1,0 / 0 / 0
,,NV vs. P1,Loss (1-2),20.49,10.25,3,1,5,17,136,1,0 / 0 / 0
,,NV vs. DIG,Win (2-1),18.76,9.38,3,3,4,25,109,1,0 / 0 / 0
,,NV vs. C9,Win (2-0),40.14,20.07,2,3,3,22,64,1,0 / 0 / 0
,,NV vs. FOX,Win (2-1),21.36,10.68,3,0,3,17,135,1,0 / 0 / 0
,,NV vs. TL,Loss (1-2),36.32,18.16,3,4,4,25,103,1,0 / 0 / 0
,,NV vs. FLY,Win (2-1),13.37,6.69,3,3,4,25,119,1,0 / 0 / 0
,,NV vs. CLG,Loss (0-2),12.34,6.17,2,0,4,9,84,0,0 / 0 / 0
,,NV vs. TSM,Loss (1-2),43.9,21.95,3,2,7,33,124,2,0 / 0 / 0
,,NV vs. IMT,Loss (0-2),8,4,2,1,7,6,50,0,0 / 0 / 0
,,NV vs. C9,Loss (0-2),13.32,6.66,2,0,7,11,32,0,0 / 0 / 0
LirA,Jungler,Team Envy,,517.86,14.39,47,129,106,249,"8,885",6,0 / 0 / 0
,,NV vs. DIG,Loss (1-2),14.27,7.14,3,4,6,11,632,0,0 / 0 / 0
,,NV vs. P1,Win (2-1),36.63,18.32,3,9,6,17,631,0,0 / 0 / 0
,,NV vs. IMT,Win (2-0),55.59,27.8,2,11,2,19,409,1,0 / 0 / 0
,,NV vs. TL,Win (2-1),13.02,6.51,3,6,13,13,579,0,0 / 0 / 0
,,NV vs. FOX,Loss (0-2),20.78,10.39,2,4,6,8,378,0,0 / 0 / 0
,,NV vs. TSM,Loss (0-2),18.8,9.4,2,3,8,9,330,0,0 / 0 / 0
,,NV vs. CLG,Loss (1-2),26.72,13.36,3,7,6,12,577,0,0 / 0 / 0
,,NV vs. FLY,Win (2-1),43.6,21.8,3,14,3,22,565,1,0 / 0 / 0
,,NV vs. P1,Loss (1-2),26.08,13.04,3,8,9,12,726,0,0 / 0 / 0
,,NV vs. DIG,Win (2-1),24.62,12.31,3,12,11,14,460,0,0 / 0 / 0
,,NV vs. C9,Win (2-0),38.36,19.18,2,7,1,14,386,0,0 / 0 / 0
,,NV vs. FOX,Win (2-1),39.6,19.8,3,9,2,17,525,1,0 / 0 / 0
,,NV vs. TL,Loss (1-2),34.46,17.23,3,13,5,13,533,0,0 / 0 / 0
,,NV vs. FLY,Win (2-1),24.36,12.18,3,3,4,25,585,2,0 / 0 / 0
,,NV vs. CLG,Loss (0-2),6.14,3.07,2,2,10,3,264,0,0 / 0 / 0
,,NV vs. TSM,Loss (1-2),61.42,30.71,3,12,5,25,764,1,0 / 0 / 0
,,NV vs. IMT,Loss (0-2),12.55,6.28,2,2,5,6,205,0,0 / 0 / 0
,,NV vs. C9,Loss (0-2),20.86,10.43,2,3,4,9,336,0,0 / 0 / 0
Nientonsoh,AD Carry,Team Envy,,0,0,0,0,0,0,0,0,0 / 0 / 0
Nisqy,Mid,Team Envy,,322.86,16.14,26,85,55,113,"8,327",1,0 / 1 / 0
,,NV vs. CLG,Loss (1-2),22.48,11.24,3,7,8,4,963,0,0 / 0 / 0
,,NV vs. FLY,Win (2-1),41.96,20.98,3,12,7,17,969,0,0 / 0 / 0
,,NV vs. C9,Win (2-0),39.81,19.91,2,5,2,16,681,0,0 / 0 / 0
,,NV vs. FOX,Win (2-1),38.02,19.01,3,10,2,15,968,0,0 / 0 / 0
,,NV vs. TL,Loss (1-2),29.21,14.61,3,5,6,16,910,0,0 / 0 / 0
,,NV vs. FLY,Win (2-1),34.66,17.33,3,19,5,11,"1,147",0,0 / 0 / 0
,,NV vs. CLG,Loss (0-2),20.19,10.1,2,5,7,6,469,0,0 / 0 / 0
,,NV vs. TSM,Loss (1-2),65.84,32.92,3,15,3,18,"1,301",1,0 / 1 / 0
,,NV vs. IMT,Loss (0-2),9.11,4.56,2,2,7,3,411,0,0 / 0 / 0
,,NV vs. C9,Loss (0-2),21.58,10.79,2,5,8,7,508,0,0 / 0 / 0
Seraph,Top,Team Envy,,473.99,13.17,47,84,145,252,"14,866",7,0 / 0 / 0
,,NV vs. DIG,Loss (1-2),20.11,10.06,3,8,7,9,"1,140",0,0 / 0 / 0
,,NV vs. P1,Win (2-1),27.92,13.96,3,4,9,12,"1,070",0,0 / 0 / 0
,,NV vs. IMT,Win (2-0),44.56,22.28,2,8,3,16,606,0,0 / 0 / 0
,,NV vs. TL,Win (2-1),20.75,10.38,3,4,5,19,"1,045",1,0 / 0 / 0
,,NV vs. FOX,Loss (0-2),24.02,12.01,2,6,7,5,802,0,0 / 0 / 0
,,NV vs. TSM,Loss (0-2),13.41,6.71,2,2,10,6,541,0,0 / 0 / 0
,,NV vs. CLG,Loss (1-2),33.35,16.68,3,4,7,18,908,1,0 / 0 / 0
,,NV vs. FLY,Win (2-1),38.88,19.44,3,7,7,27,988,1,0 / 0 / 0
,,NV vs. P1,Loss (1-2),23.65,11.83,3,4,10,12,"1,253",0,0 / 0 / 0
,,NV vs. DIG,Win (2-1),30,15,3,3,8,21,820,1,0 / 0 / 0
,,NV vs. C9,Win (2-0),32.75,16.38,2,6,5,12,525,0,0 / 0 / 0
,,NV vs. FOX,Win (2-1),32.38,16.19,3,7,4,14,932,0,0 / 0 / 0
,,NV vs. TL,Loss (1-2),32.43,16.22,3,2,11,20,912,1,0 / 0 / 0
,,NV vs. FLY,Win (2-1),25.49,12.75,3,5,7,26,971,1,0 / 0 / 0
,,NV vs. CLG,Loss (0-2),14.67,7.34,2,6,9,2,417,0,0 / 0 / 0
,,NV vs. TSM,Loss (1-2),45.81,22.91,3,6,11,23,"1,205",1,0 / 0 / 0
,,NV vs. IMT,Loss (0-2),1.98,0.99,2,0,15,4,348,0,0 / 0 / 0
,,NV vs. C9,Loss (0-2),11.83,5.92,2,2,10,6,383,0,0 / 0 / 0
Arcsecond,Jungler,Team Liquid,,0,0,0,0,0,0,0,0,0 / 0 / 0
Dardoch,Jungler,Team Liquid,,490.26,15.32,41,108,126,291,"5,943",13,1/1/0000
,,CLG vs. C9,Win (2-1),20.54,10.27,3,8,14,21,451,1,0 / 0 / 0
,,CLG vs. TL,Win (2-0),35.73,17.87,2,5,5,16,223,1,0 / 0 / 0
,,CLG vs. FOX,Win (2-1),44.36,22.18,3,18,11,15,585,0,0 / 1 / 0
,,CLG vs. TSM,Loss (1-2),27.2,13.6,3,7,12,18,476,0,0 / 0 / 0
,,CLG vs. FLY,Win (2-1),45.58,22.79,3,5,8,42,420,2,0 / 0 / 0
,,CLG vs. P1,Win (2-1),33.17,16.59,3,6,8,26,467,2,0 / 0 / 0
,,CLG vs. IMT,Loss (0-2),24.05,12.03,2,6,6,8,305,0,0 / 0 / 0
,,CLG vs. NV,Win (2-1),13.44,6.72,3,7,7,18,516,1,0 / 0 / 0
,,CLG vs. C9,Win (2-1),22.12,11.06,3,7,7,16,410,1,0 / 0 / 0
,,CLG vs. TL,Win (2-0),42.45,21.23,2,1,4,24,245,2,0 / 0 / 0
,,CLG vs. FLY,Win (2-0),12.7,12.7,1,2,4,6,170,0,0 / 0 / 0
,,CLG vs. DIG,Loss (0-2),5.53,5.53,1,0,4,4,153,0,0 / 0 / 0
,,CLG vs. FOX,Win (2-0),42.43,21.22,2,11,3,13,243,0,0 / 0 / 0
,,CLG vs. IMT,Loss (1-2),11.05,11.05,1,3,5,4,155,0,0 / 0 / 0
,,TL vs. IMT,Loss (0-2),14.53,7.27,2,0,6,10,253,0,0 / 0 / 0
,,CLG vs. NV,Win (2-0),0,0,0,0,0,0,0,0,0 / 0 / 0
,,TL vs. C9,Loss (1-2),4.63,4.63,1,0,2,3,113,0,0 / 0 / 0
,,CLG vs. P1,Loss (1-2),0,0,0,0,0,0,0,0,0 / 0 / 0
,,CLG vs. DIG,Win (2-1),0,0,0,0,0,0,0,0,0 / 0 / 0
,,TL vs. FLY,Loss (1-2),52.59,26.3,3,14,8,33,429,2,0 / 0 / 0
,,TL vs. DIG,Loss (1-2),38.16,19.08,3,8,12,14,329,1,1 / 0 / 0
,,CLG vs. TSM,Loss (0-2),0,0,0,0,0,0,0,0,0 / 0 / 0
Goldenglue,Mid,Team Liquid,,366.5,14.1,30,73,79,136,"9,093",4,1 / 0 / 0
,,TL vs. CLG,Loss (0-2),12.97,6.49,2,0,8,8,497,0,0 / 0 / 0
,,TL vs. FOX,Loss (0-2),0,0,0,0,0,0,0,0,0 / 0 / 0
,,TL vs. NV,Loss (1-2),42.3,21.15,3,6,10,19,975,1,0 / 0 / 0
,,TL vs. DIG,Win (2-1),30.79,15.4,3,8,10,15,981,1,0 / 0 / 0
,,TL vs. IMT,Loss (0-2),11.13,5.57,2,2,5,3,513,0,0 / 0 / 0
,,TL vs. TSM,Loss (0-2),25.51,12.76,2,4,7,10,601,0,0 / 0 / 0
,,TL vs. C9,Loss (0-2),0,0,0,0,0,0,0,0,0 / 0 / 0
,,TL vs. P1,Win (2-1),0,0,0,0,0,0,0,0,0 / 0 / 0
,,TL vs. FOX,Loss (1-2),27.83,13.92,2,5,1,7,583,0,1 / 0 / 0
,,TL vs. CLG,Loss (0-2),18.67,9.34,2,4,6,5,617,0,0 / 0 / 0
,,TL vs. FLY,Loss (0-2),38.06,19.03,2,9,6,10,806,0,0 / 0 / 0
,,TL vs. TSM,Loss (0-2),38.82,19.41,2,6,7,15,582,1,0 / 0 / 0
,,TL vs. NV,Win (2-1),25.11,12.56,3,9,6,14,969,0,0 / 0 / 0
,,TL vs. P1,Win (2-0),54.42,27.21,2,11,1,17,542,1,0 / 0 / 0
,,TL vs. IMT,Loss (0-2),15.17,7.59,2,2,4,5,567,0,0 / 0 / 0
,,TL vs. C9,Loss (1-2),25.72,12.86,3,7,8,8,860,0,0 / 0 / 0
,,TL vs. FLY,Loss (1-2),0,0,0,0,0,0,0,0,0 / 0 / 0
,,TL vs. DIG,Loss (1-2),0,0,0,0,0,0,0,0,0 / 0 / 0
Inori,Jungler,Team Liquid,,93.58,10.4,11,8,27,57,"1,526",1,0 / 0 / 0
,,P1 vs. IMT,Loss (1-2),16,8,3,3,11,10,463,0,0 / 0 / 0
,,P1 vs. NV,Loss (1-2),42.18,21.09,3,1,2,28,473,1,0 / 0 / 0
,,P1 vs. C9,Loss (0-2),0.92,0.92,1,0,1,0,142,0,0 / 0 / 0
,,P1 vs. FLY,Loss (0-2),0,0,0,0,0,0,0,0,0 / 0 / 0
,,P1 vs. CLG,Loss (1-2),0,0,0,0,0,0,0,0,0 / 0 / 0
,,TL vs. C9,Loss (0-2),4.39,4.39,1,1,1,1,139,0,0 / 0 / 0
,,TL vs. FLY,Loss (0-2),20.68,10.34,2,1,9,14,218,0,0 / 0 / 0
,,TL vs. TSM,Loss (0-2),9.41,9.41,1,2,3,4,91,0,0 / 0 / 0
Insanity,Mid,Team Liquid,,0,0,0,0,0,0,0,0,0 / 0 / 0
konkwon,Support,Team Liquid,,41.66,8.33,6,2,18,48,191,2,0 / 0 / 0
,,TL vs. C9,Loss (0-2),9.61,4.81,2,0,9,9,61,0,0 / 0 / 0
,,TL vs. P1,Win (2-1),30.42,15.21,3,2,9,38,117,2,0 / 0 / 0
,,TL vs. FOX,Loss (1-2),1.63,1.63,1,0,0,1,13,0,0 / 0 / 0
,,TL vs. CLG,Loss (0-2),0,0,0,0,0,0,0,0,0 / 0 / 0
